Company Name,Sales Growth,ROA,Total Accruals,Operating Cash Flow,CAPEX,R&D,Leverage Ratio,Working Capital Ratio,ForeignOp,ETR,Market-to-Book,Log(Total Assets),Big N,year,Bog Index,Tax Effectiveness,Accounting Analytics Mention,Fama-French industry code (5 industries),nyyear,NYWorking Capital Ratio,NYLeverage Ratio,NYROA,NYBig N,NYCAPEX,NYR&D,NYForeignOp,NYSales Growth,NYMarket-to-Book,NYETR,NYBog Index,NYAccounting Analytics Mention,Log(Total Assets),NYTax Effectiveness,NYTotal Accruals,NYOperating Cash Flow
ACETO CORP,0.143,0.011,-0.032,0.043,0.002,0.008,0.327,2.116,1.000,0.345,1.148,6.945,0.000,2017.000,91.000,0.619,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,1.661,0.395,-0.412,0.000,0.008,0.010,1.000,0.114,1.082,-0.080,82.000,0.000,6.643,0.054,-0.368,0.133
ACME UNITED CORP,0.134,0.064,-0.033,0.096,0.020,0.008,0.358,5.106,1.000,0.220,1.843,4.523,0.000,2016.000,79.000,0.650,0.000,"Manufacturing, Energy, and Utilities",2017.000,4.637,0.411,0.035,0.000,0.062,0.007,1.000,0.048,1.581,0.376,80.000,0.000,4.743,0.605,-0.007,0.042
ACME UNITED CORP,0.048,0.035,-0.007,0.042,0.062,0.007,0.411,4.637,1.000,0.376,1.581,4.743,0.000,2017.000,80.000,0.605,0.000,"Manufacturing, Energy, and Utilities",2018.000,5.461,0.399,0.042,0.000,0.026,0.007,1.000,0.052,0.912,0.169,73.000,1.000,4.696,0.489,0.001,0.041
ACME UNITED CORP,0.052,0.042,0.001,0.041,0.026,0.007,0.399,5.461,1.000,0.169,0.912,4.696,0.000,2018.000,73.000,0.489,1.000,"Manufacturing, Energy, and Utilities",2019.000,4.411,0.347,0.050,0.000,0.015,0.005,1.000,0.037,1.431,0.157,83.000,1.000,4.707,0.405,-0.083,0.133
BK TECHNOLOGIES CORP,0.705,0.063,-0.189,0.252,0.033,0.097,0.000,4.679,0.000,0.371,1.822,3.751,0.000,2016.000,92.000,0.730,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,3.586,0.000,-0.085,0.000,0.015,0.117,0.000,-0.223,1.514,0.242,89.000,0.000,3.757,0.531,-0.031,-0.053
BK TECHNOLOGIES CORP,-0.223,-0.085,-0.031,-0.053,0.015,0.117,0.000,3.586,0.000,0.242,1.514,3.757,0.000,2017.000,89.000,0.531,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,3.122,0.000,-0.005,0.000,0.036,0.198,0.000,0.253,1.735,0.587,70.000,0.000,3.668,0.459,-0.140,0.135
BK TECHNOLOGIES CORP,0.253,-0.005,-0.140,0.135,0.036,0.198,0.000,3.122,0.000,0.587,1.735,3.668,0.000,2018.000,70.000,0.459,0.000,"Business Equipment, Telephone and Television Transmission",2019.000,2.548,0.077,-0.069,0.000,0.065,0.258,0.000,-0.188,1.678,0.272,80.000,0.000,3.636,0.400,-0.004,-0.066
ADAMS RESOURCES & ENERGY INC,-0.386,0.010,-0.018,0.028,0.034,0.000,0.000,2.237,0.000,0.517,1.105,5.509,1.000,2016.000,85.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,1.896,0.005,-0.002,1.000,0.009,0.000,0.000,0.202,1.247,0.859,85.000,0.000,5.644,0.402,-0.094,0.092
ADVANCED MICRO DEVICES,0.070,-0.150,-0.177,0.027,0.023,0.260,0.432,1.880,1.000,-0.085,19.786,8.108,1.000,2016.000,94.000,0.024,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,1.764,0.374,0.012,1.000,0.032,0.260,1.000,0.247,16.270,0.306,94.000,0.000,8.172,0.029,-0.007,0.019
ADVANCED MICRO DEVICES,0.247,0.012,-0.007,0.019,0.032,0.260,0.374,1.764,1.000,0.306,16.270,8.172,1.000,2017.000,94.000,0.029,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,1.784,0.245,0.074,1.000,0.036,0.260,1.000,0.215,14.654,-0.027,93.000,1.000,8.424,0.039,0.067,0.007
ADVANCED MICRO DEVICES,0.215,0.074,0.067,0.007,0.036,0.260,0.245,1.784,1.000,-0.027,14.654,8.424,1.000,2018.000,93.000,0.039,1.000,"Business Equipment, Telephone and Television Transmission",2019.000,1.949,0.114,0.057,1.000,0.036,0.257,1.000,0.040,18.980,0.083,94.000,1.000,8.704,0.160,-0.025,0.082
AIR PRODUCTS & CHEMICALS INC,-0.037,0.035,-0.111,0.146,0.058,0.007,0.272,1.315,1.000,0.275,4.616,9.801,1.000,2016.000,87.000,0.775,0.000,"Manufacturing, Energy, and Utilities",2017.000,2.361,0.184,0.162,1.000,0.056,0.003,1.000,-0.140,3.274,0.184,90.000,0.000,9.824,0.706,0.078,0.085
AIR PRODUCTS & CHEMICALS INC,-0.140,0.162,0.078,0.085,0.056,0.003,0.184,2.361,1.000,0.184,3.274,9.824,1.000,2017.000,90.000,0.706,0.000,"Manufacturing, Energy, and Utilities",2018.000,2.173,0.175,0.078,1.000,0.082,0.003,1.000,0.091,3.377,0.260,95.000,0.000,9.862,0.887,-0.054,0.133
AIR T INC,0.321,0.085,0.023,0.062,0.024,0.015,0.000,2.479,0.000,0.389,1.675,3.954,0.000,2016.000,90.000,0.646,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2017.000,2.411,0.282,-0.049,0.000,0.036,0.016,0.000,0.002,1.794,-0.172,99.000,0.000,4.180,0.385,0.066,-0.116
AIR T INC,0.002,-0.049,0.066,-0.116,0.036,0.016,0.282,2.411,0.000,-0.172,1.794,4.180,0.000,2017.000,99.000,0.385,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2018.000,1.978,0.400,0.023,0.000,0.175,0.002,0.000,0.310,2.059,0.074,104.000,0.000,4.576,0.340,0.026,-0.003
ALASKA AIR GROUP INC,0.059,0.082,-0.057,0.139,0.068,0.000,0.266,0.809,0.000,0.395,3.734,9.207,1.000,2016.000,74.000,0.991,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2017.000,0.795,0.211,0.096,1.000,0.096,0.000,0.000,0.338,2.431,0.143,72.000,0.000,9.282,1.000,-0.052,0.148
ALASKA AIR GROUP INC,0.338,0.096,-0.052,0.148,0.096,0.000,0.211,0.795,0.000,0.143,2.431,9.282,1.000,2017.000,72.000,1.000,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2018.000,0.607,0.148,0.040,1.000,0.088,0.000,0.000,0.042,1.998,0.253,77.000,0.000,9.298,0.973,-0.069,0.110
ALASKA AIR GROUP INC,0.042,0.040,-0.069,0.110,0.088,0.000,0.148,0.607,0.000,0.253,1.998,9.298,1.000,2018.000,77.000,0.973,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2019.000,0.636,0.208,0.059,1.000,0.054,0.000,0.000,0.063,1.924,0.243,79.000,0.000,9.472,0.930,-0.073,0.133
ATRION CORP,-0.015,0.151,-0.054,0.205,0.058,0.036,0.000,10.373,0.000,0.298,5.676,5.207,0.000,2016.000,82.000,1.000,0.000,"Healthcare, Medical Equipment, and Drugs",2017.000,10.848,0.000,0.180,0.000,0.047,0.028,0.000,0.022,6.279,0.136,82.000,0.000,5.317,0.920,-0.051,0.231
ATRION CORP,0.022,0.180,-0.051,0.231,0.047,0.028,0.000,10.848,0.000,0.136,6.279,5.317,0.000,2017.000,82.000,0.920,0.000,"Healthcare, Medical Equipment, and Drugs",2018.000,10.848,0.000,0.148,0.000,0.076,0.024,0.000,0.040,6.515,0.185,69.000,0.000,5.443,0.917,-0.039,0.187
ATRION CORP,0.040,0.148,-0.039,0.187,0.076,0.024,0.000,10.848,0.000,0.185,6.515,5.443,0.000,2018.000,69.000,0.917,0.000,"Healthcare, Medical Equipment, and Drugs",2019.000,10.848,0.001,0.140,0.000,0.078,0.019,0.000,0.017,5.860,0.148,90.000,0.000,5.568,0.916,-0.022,0.162
MATSON INC,0.030,0.040,-0.038,0.078,0.089,0.000,0.351,0.982,0.000,0.376,3.220,7.609,1.000,2016.000,82.000,0.666,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2017.000,0.929,0.368,0.103,1.000,0.137,0.000,0.000,0.054,1.870,-0.853,81.000,0.000,7.718,0.878,0.003,0.100
MATSON INC,0.054,0.103,0.003,0.100,0.137,0.000,0.368,0.929,0.000,-0.853,1.870,7.718,1.000,2017.000,81.000,0.878,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2018.000,0.859,0.335,0.045,1.000,0.165,0.000,0.000,0.086,1.810,0.262,86.000,0.000,7.796,0.844,-0.081,0.125
MATSON INC,0.086,0.045,-0.081,0.125,0.165,0.000,0.335,0.859,0.000,0.262,1.810,7.796,1.000,2018.000,86.000,0.844,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2019.000,0.663,0.389,0.029,1.000,0.109,0.000,0.000,-0.009,2.172,0.233,99.000,0.000,7.953,0.786,-0.058,0.087
ALICO INC,-0.058,0.015,-0.051,0.066,0.031,0.000,0.432,3.903,0.000,0.442,1.287,6.128,0.000,2016.000,86.000,0.753,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,4.160,0.430,-0.023,0.000,0.032,0.000,0.000,-0.100,1.751,0.288,86.000,0.000,6.038,0.686,-0.090,0.067
ALICO INC,-0.100,-0.023,-0.090,0.067,0.032,0.000,0.430,4.160,0.000,0.288,1.751,6.038,0.000,2017.000,86.000,0.686,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,3.360,0.402,0.031,0.000,0.039,0.000,0.000,-0.374,1.610,0.030,90.000,0.000,6.048,0.589,-0.014,0.045
HONEYWELL INTERNATIONAL INC,0.019,0.089,-0.013,0.102,0.020,0.040,0.225,1.412,1.000,0.248,4.551,10.899,1.000,2016.000,90.000,0.938,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2017.000,1.379,0.212,0.028,1.000,0.017,0.031,1.000,0.031,6.666,0.754,88.000,0.000,10.992,1.000,-0.073,0.100
HONEYWELL INTERNATIONAL INC,0.031,0.028,-0.073,0.100,0.017,0.031,0.212,1.379,1.000,0.754,6.666,10.992,1.000,2017.000,88.000,1.000,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2018.000,1.287,0.169,0.117,1.000,0.014,0.031,1.000,0.031,5.302,0.088,89.000,0.000,10.964,1.000,0.006,0.111
HONEYWELL INTERNATIONAL INC,0.031,0.117,0.006,0.111,0.014,0.031,0.169,1.287,1.000,0.088,5.302,10.964,1.000,2018.000,89.000,1.000,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2019.000,1.343,0.198,0.105,1.000,0.014,0.027,1.000,-0.122,6.806,0.176,95.000,0.000,10.980,1.000,-0.013,0.118
SKYWORKS SOLUTIONS INC,0.009,0.208,-0.026,0.262,0.049,0.081,0.000,9.525,1.000,0.171,3.975,8.257,1.000,2016.000,90.000,1.000,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,6.790,0.000,0.208,1.000,0.066,0.078,1.000,0.110,4.589,0.196,89.000,0.000,8.428,1.000,-0.101,0.262
SKYWORKS SOLUTIONS INC,0.110,0.208,-0.101,0.262,0.066,0.078,0.000,6.790,1.000,0.196,4.589,8.428,1.000,2017.000,89.000,1.000,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,5.805,0.000,0.190,1.000,0.087,0.084,1.000,0.059,3.928,0.311,96.000,0.000,8.482,1.000,-0.071,0.261
HESS CORP,-0.282,-0.214,-0.242,0.028,0.079,0.000,0.234,1.900,1.000,-0.577,1.357,10.262,1.000,2016.000,79.000,0.634,0.000,"Manufacturing, Energy, and Utilities",2017.000,2.529,0.277,-0.176,1.000,0.084,0.000,1.000,0.148,1.353,0.318,79.000,0.000,10.048,0.539,-0.217,0.041
HESS CORP,0.148,-0.176,-0.217,0.041,0.084,0.000,0.277,2.529,1.000,0.318,1.353,10.048,1.000,2017.000,79.000,0.539,0.000,"Manufacturing, Energy, and Utilities",2018.000,2.024,0.308,-0.013,1.000,0.098,0.000,1.000,0.157,1.226,1.000,88.000,0.000,9.973,0.436,-0.104,0.090
HESS CORP,0.157,-0.013,-0.104,0.090,0.098,0.000,0.308,2.024,1.000,1.000,1.226,9.973,1.000,2018.000,88.000,0.436,0.000,"Manufacturing, Energy, and Utilities",2019.000,1.257,0.355,-0.019,1.000,0.130,0.000,1.000,0.027,2.333,1.000,90.000,0.000,9.989,0.369,-0.094,0.075
US ECOLOGY INC,-0.152,0.044,-0.052,0.096,0.046,0.000,0.354,1.843,1.000,0.381,3.822,6.655,1.000,2016.000,92.000,0.792,0.000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",2017.000,2.232,0.345,0.062,1.000,0.045,0.000,1.000,0.055,3.438,-0.149,93.000,0.000,6.687,1.000,-0.039,0.101
AMERICAN ELECTRIC POWER CO,-0.004,0.010,-0.062,0.071,0.077,0.000,0.278,0.635,0.000,-0.135,1.780,11.058,1.000,2016.000,103.000,0.353,0.000,"Manufacturing, Energy, and Utilities",2017.000,0.514,0.304,0.030,1.000,0.090,0.000,0.000,-0.058,1.979,0.335,101.000,0.000,11.078,0.419,-0.036,0.066
AMERICAN ELECTRIC POWER CO,-0.058,0.030,-0.036,0.066,0.090,0.000,0.304,0.514,0.000,0.335,1.979,11.078,1.000,2017.000,101.000,0.419,0.000,"Manufacturing, Energy, and Utilities",2018.000,0.476,0.318,0.028,1.000,0.092,0.000,0.000,0.050,1.937,0.056,108.000,0.000,11.139,0.414,-0.048,0.076
AMERICAN ELECTRIC POWER CO,0.050,0.028,-0.048,0.076,0.092,0.000,0.318,0.476,0.000,0.056,1.937,11.139,1.000,2018.000,108.000,0.414,0.000,"Manufacturing, Energy, and Utilities",2019.000,0.448,0.344,0.025,1.000,0.081,0.000,0.000,-0.039,2.379,-0.007,111.000,0.000,11.237,0.379,-0.031,0.056
AMERICAN SHARED HSPTL SERV,0.130,0.015,-0.123,0.138,0.027,0.000,0.329,0.966,0.000,0.295,0.852,4.104,0.000,2016.000,87.000,1.000,0.000,"Healthcare, Medical Equipment, and Drugs",2017.000,0.987,0.273,0.033,0.000,0.014,0.000,0.000,0.046,0.621,-0.600,87.000,0.000,4.063,0.597,-0.102,0.135
AMERICAN SHARED HSPTL SERV,0.046,0.033,-0.102,0.135,0.014,0.000,0.273,0.987,0.000,-0.600,0.621,4.063,0.000,2017.000,87.000,0.597,0.000,"Healthcare, Medical Equipment, and Drugs",2018.000,1.050,0.237,0.018,0.000,0.027,0.000,0.000,0.008,0.542,0.217,79.000,0.000,4.052,0.653,-0.122,0.140
AMERICAN SHARED HSPTL SERV,0.008,0.018,-0.122,0.140,0.027,0.000,0.237,1.050,0.000,0.217,0.542,4.052,0.000,2018.000,79.000,0.653,0.000,"Healthcare, Medical Equipment, and Drugs",2019.000,1.308,0.204,0.012,0.000,0.018,0.000,0.000,0.045,0.545,0.082,91.000,0.000,3.985,0.750,-0.137,0.150
AMERICAN SOFTWARE  -CL A,0.107,0.075,-0.059,0.134,0.005,0.082,0.000,2.395,0.000,0.303,2.781,4.918,1.000,2016.000,87.000,0.695,1.000,"Business Equipment, Telephone and Television Transmission",2017.000,2.563,0.000,0.098,1.000,0.005,0.080,0.000,-0.067,3.133,0.324,85.000,1.000,5.002,0.669,-0.035,0.133
AMERICAN SOFTWARE  -CL A,-0.067,0.098,-0.035,0.133,0.005,0.080,0.000,2.563,0.000,0.324,3.133,5.002,1.000,2017.000,85.000,0.669,1.000,"Business Equipment, Telephone and Television Transmission",2018.000,2.331,0.000,0.074,1.000,0.009,0.073,0.000,0.060,3.469,0.233,84.000,1.000,5.094,0.618,0.033,0.041
AMERICAN VANGUARD CORP,0.079,0.030,-0.078,0.108,0.025,0.016,0.095,2.339,1.000,0.298,1.993,6.064,0.000,2016.000,85.000,0.439,0.000,"Manufacturing, Energy, and Utilities",2017.000,2.020,0.145,0.038,0.000,0.012,0.016,1.000,0.138,1.919,0.179,86.000,0.000,6.283,0.350,-0.072,0.110
AMERICAN VANGUARD CORP,0.138,0.038,-0.072,0.110,0.012,0.016,0.145,2.020,1.000,0.179,1.919,6.283,0.000,2017.000,86.000,0.350,0.000,"Manufacturing, Energy, and Utilities",2018.000,2.131,0.163,0.041,0.000,0.014,0.015,1.000,0.279,1.377,0.275,91.000,0.000,6.386,0.369,0.022,0.019
AMERICAN VANGUARD CORP,0.279,0.041,0.022,0.019,0.014,0.015,0.163,2.131,1.000,0.275,1.377,6.386,0.000,2018.000,91.000,0.369,0.000,"Manufacturing, Energy, and Utilities",2019.000,2.425,0.232,0.020,0.000,0.019,0.013,1.000,0.031,1.707,0.277,95.000,0.000,6.507,0.412,0.006,0.014
AMETEK INC,-0.034,0.072,-0.034,0.107,0.009,0.016,0.290,2.086,1.000,0.261,3.423,8.868,1.000,2016.000,83.000,0.905,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,1.699,0.239,0.087,1.000,0.010,0.017,1.000,0.120,4.160,0.145,82.000,0.000,8.961,0.920,-0.019,0.107
AMETEK INC,0.120,0.087,-0.019,0.107,0.010,0.017,0.239,1.699,1.000,0.145,4.160,8.961,1.000,2017.000,82.000,0.920,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,1.459,0.262,0.090,1.000,0.009,0.016,1.000,0.127,3.625,0.212,80.000,0.000,9.067,0.917,-0.017,0.107
AMETEK INC,0.127,0.090,-0.017,0.107,0.009,0.016,0.262,1.459,1.000,0.212,3.625,9.067,1.000,2018.000,80.000,0.917,0.000,"Business Equipment, Telephone and Television Transmission",2019.000,1.421,0.245,0.087,1.000,0.010,0.016,1.000,0.065,4.467,0.195,90.000,0.000,9.195,0.920,-0.026,0.113
AMGEN INC,0.061,0.099,-0.034,0.133,0.010,0.049,0.389,4.107,1.000,0.157,3.613,11.260,1.000,2016.000,92.000,0.913,0.000,"Healthcare, Medical Equipment, and Drugs",2017.000,5.485,0.428,0.025,1.000,0.008,0.050,1.000,-0.006,4.976,0.794,93.000,0.000,11.289,0.918,-0.115,0.140
AMGEN INC,-0.006,0.025,-0.115,0.140,0.008,0.050,0.428,5.485,1.000,0.794,4.976,11.289,1.000,2017.000,93.000,0.918,0.000,"Healthcare, Medical Equipment, and Drugs",2018.000,2.789,0.444,0.126,1.000,0.011,0.061,1.000,0.039,9.805,0.121,96.000,0.000,11.104,0.915,-0.044,0.170
AMGEN INC,0.039,0.126,-0.044,0.170,0.011,0.061,0.444,2.789,1.000,0.121,9.805,11.104,1.000,2018.000,96.000,0.915,0.000,"Healthcare, Medical Equipment, and Drugs",2019.000,1.437,0.458,0.131,1.000,0.010,0.069,1.000,-0.016,14.739,0.142,98.000,0.000,10.997,0.950,-0.022,0.153
AMPCO-PITTSBURGH CORP,0.392,-0.141,-0.131,-0.010,0.019,0.005,0.043,1.535,1.000,-0.398,1.390,6.338,1.000,2016.000,87.000,0.393,0.000,"Manufacturing, Energy, and Utilities",2017.000,1.661,0.078,-0.021,1.000,0.026,0.006,1.000,0.303,0.964,0.107,93.000,0.000,6.338,0.311,0.007,-0.028
AMPCO-PITTSBURGH CORP,0.303,-0.021,0.007,-0.028,0.026,0.006,0.078,1.661,1.000,0.107,0.964,6.338,1.000,2017.000,93.000,0.311,0.000,"Manufacturing, Energy, and Utilities",2018.000,1.361,0.056,-0.121,1.000,0.017,0.005,1.000,-0.030,0.446,-0.006,95.000,0.000,6.348,0.209,-0.110,-0.012
AMPCO-PITTSBURGH CORP,-0.030,-0.121,-0.110,-0.012,0.017,0.005,0.056,1.361,1.000,-0.006,0.446,6.348,1.000,2018.000,95.000,0.209,0.000,"Manufacturing, Energy, and Utilities",2019.000,1.557,0.107,-0.041,1.000,0.022,0.005,1.000,-0.051,0.779,-0.252,98.000,0.000,6.228,0.164,-0.027,-0.014
ANALOG DEVICES,-0.004,0.108,-0.053,0.161,0.016,0.082,0.217,6.354,1.000,0.100,3.824,8.983,1.000,2016.000,97.000,0.865,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,1.473,0.357,0.034,1.000,0.010,0.046,1.000,0.493,3.312,0.122,96.000,0.000,9.959,0.753,-0.018,0.053
ANALOG DEVICES,0.493,0.034,-0.018,0.053,0.010,0.046,0.357,1.473,1.000,0.122,3.312,9.959,1.000,2017.000,96.000,0.753,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,1.502,0.306,0.073,1.000,0.012,0.057,1.000,0.214,2.820,0.087,100.000,0.000,9.926,0.761,-0.046,0.119
ANALOGIC CORP,-0.058,0.019,-0.033,0.052,0.021,0.106,0.000,4.955,1.000,0.403,1.961,6.450,1.000,2016.000,91.000,0.616,0.000,"Healthcare, Medical Equipment, and Drugs",2017.000,5.524,0.000,-0.138,1.000,0.017,0.118,1.000,-0.044,1.901,-0.120,93.000,0.000,6.288,0.551,-0.278,0.140
ANDREA ELECTRONICS CORP,-0.386,-0.338,0.125,-0.331,0.000,0.208,0.380,3.589,1.000,-0.010,3.334,1.311,0.000,2016.000,84.000,0.095,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,3.797,0.608,-0.528,0.000,0.011,0.260,1.000,0.719,9.796,-0.011,89.000,0.000,0.671,0.080,0.125,-0.331
ANDERSONS INC,-0.065,0.005,-0.013,0.018,0.073,0.000,0.178,1.323,1.000,0.323,1.630,7.711,1.000,2016.000,82.000,0.569,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,1.353,0.205,0.020,1.000,0.082,0.000,1.000,-0.061,1.084,1.000,82.000,0.000,7.679,0.475,-0.015,0.035
APA CORP,-0.159,-0.062,-0.170,0.108,0.087,0.000,0.379,1.759,1.000,0.263,3.861,10.022,1.000,2016.000,86.000,0.192,0.000,"Manufacturing, Energy, and Utilities",2017.000,1.453,0.362,0.059,1.000,0.126,0.000,1.000,0.072,2.169,-0.637,88.000,0.000,9.995,0.253,-0.051,0.111
APOGEE ENTERPRISES INC,0.051,0.099,-0.089,0.189,0.064,0.012,0.031,1.899,1.000,0.329,2.820,6.488,1.000,2016.000,86.000,0.794,1.000,"Manufacturing, Energy, and Utilities",2017.000,1.599,0.083,0.109,1.000,0.087,0.011,1.000,0.136,3.485,0.301,89.000,0.000,6.665,0.907,-0.049,0.158
APOGEE ENTERPRISES INC,0.136,0.109,-0.049,0.158,0.087,0.011,0.083,1.599,1.000,0.301,3.485,6.665,1.000,2017.000,89.000,0.907,0.000,"Manufacturing, Energy, and Utilities",2018.000,1.616,0.211,0.078,1.000,0.052,0.014,1.000,0.190,2.376,0.277,94.000,0.000,6.930,0.711,-0.047,0.125
APOGEE ENTERPRISES INC,0.190,0.078,-0.047,0.125,0.052,0.014,0.211,1.616,1.000,0.277,2.376,6.930,1.000,2018.000,94.000,0.711,0.000,"Manufacturing, Energy, and Utilities",2019.000,1.635,0.230,0.043,1.000,0.057,0.018,1.000,0.058,1.943,0.221,92.000,0.000,6.974,0.662,-0.047,0.090
